DISK     %RND  %SEQ    COUNT     KBYTES
sda       100     0        4          4
sda       100     0        1          4
sda       100     0       38        748
sda       100     0       11        332
sda       100     0       83        368
sda       100     0        4          4
sda       100     0       28        692
sda       100     0       11        336
sda        94     5       18        420
sda       100     0       10         88
sda       100     0       13        568
sda       100     0        5         44
