DISK     %RND  %SEQ    COUNT     KBYTES
sda        48    51      252     258672
sda        57    42      299     288720
sda        59    40      321     271808
sda        64    35      298     284164
sda        76    23      378     341252
sda        74    25      288     308832
sda        77    22      357     368636
sda        84    15      488     464992
sda        74    25      302     307304
sda        75    24      389     375828
sda        79    20      405     376600
sda        73    26      352     376920
sda        72    27      311     340912
sda        64    35      353     326568
sda        50    49      423     390868
sda        86    13      487     414256
sda        54    45      321     324420
sda        88    11      370     338928
sda        92     7      378     399884
sda        88    11      435     400088
sda        86    13      433     457376
sda        86    13      317     331408
sda        89    10      399     408416
sda        91     8      402     428828
sda        80    19      430     426304
sda        92     7      449     430936
sda        73    26      426     428572
sda        90     9      361     365656
sda        80    19      382     391112
sda        91     8      423     451172
sda        78    21      457     283524
sda        94     5      412     461904
sda        80    19      352     338164
sda        93     6      384     393104
sda        81    18      471     388372
sda        89    10      493     410220
sda        77    22      334     294360
sda        81    18      341     308032
sda        91     8      338     346996
sda        94     5      411     317616
sda        92     7      291     277236
sda        79    20      330     289148
sda        78    21      413     358500
sda        89    10      360     369240
sda        83    16      368     352348
sda        90     9      273     256748
sda        93     6      402     350364
sda        81    18      486     390796
sda        84    15      404     418612
sda        90     9      480     437664
sda        90     9      329     309404
sda        86    13      377     388988
sda        64    35      403     315128
sda        93     6      375     406364
sda        77    22      414     395056
sda        96     3      437     409984
sda        88    11      336     349636
sda        94     5      318     255948
sda        87    12      422     362484
sda        86    13      457     408184
sda        92     7      465     399028
sda        90     9      366     366320
sda        89    10      411     376448
sda        85    14      431     419920
sda        91     8      348     299040
sda        85    14      386     336236
sda        86    13      437     412724
sda        91     8      378     347012
sda        89    10      435     420964
sda        88    11      452     412728
sda        86    13      449     443508
sda        92     7      422     398500
sda        85    14      387     383332
sda        92     7      340     304748
sda        91     8      419     403608
sda        80    19      469     389020
sda        94     5      509     413776
sda        73    26      421     416304
